CreatedOn,ID,Text,User,Location
2020-11-06 02:28:15,1324539060409540613,@blondedocean John Mayer’s wildfire is my favorite Frank Ocean feature lately https://t.co/5WXawUPjMC,puta_kinte,
2020-11-06 02:22:10,1324537529446662144,I'm afraid that I might be starting down a slippery slope. https://t.co/6iQglTEARU,Wildfire_draft,"Vestal, NY"
2020-11-06 02:22:09,1324537525235580932,"Running out of wildfire names, Bay season goes Russian",DeathLocal,
2020-11-06 02:22:04,1324537504016474113,"In California, insurers are barred from canceling or not renewing homes for a year due to wildfire risk in many are… https://t.co/FxEKUCjgX1",techchronicle,San Francisco
2020-11-06 02:21:39,1324537400954101760,"Look, I know you followed me for wildfire content... but I'm also going to amplify examples of the robust, reliable… https://t.co/HUWIcJhyOS",ericbkennedy,"Toronto, Ontario"
2020-11-06 02:21:27,1324537350547013632,Ready or Not’ Play Goes Virtual to Teach Kids About Wildfire Safety https://t.co/QP4sy9J7El,SCE_JuanL,"Victorville, CA"
2020-11-06 02:21:24,1324537335027916800,@blondedocean Wildfire,dubeagu,"Los Angeles, CA"
2020-11-06 02:19:39,1324536895364354052,"I've ""rock-climbed"" to this picturesque spot and enjoyed this view more than a time or two - as have my MCs in WILD… https://t.co/Wz2S4tE41b",ToniRDraper,
2020-11-06 02:17:21,1324536319255728133,@Lycan6574 Not many left either.,Wildfire_draft,"Vestal, NY"
2020-11-06 02:16:50,1324536188586385414,There is nothing worse than the hell the is dejection. It is a poison. A fast moving cancer that will spread like w… https://t.co/YKcFPkPRvZ,DannyDravot_,
2020-11-06 02:16:13,1324536034495991810,Parts of Rocky Mountain National Park to reopen after East Troublesome Fire https://t.co/dLaBMq5uCH via @9NEWS,SkonieSkoop,"Wilmington, DE"
2020-11-06 02:15:30,1324535851376922624,"@GTABiker We need this lady next time a wildfire breaks out, not an election",Dirty_Worka,New England
2020-11-06 02:10:16,1324534535741181952,@Wildfire_draft Nice truck,Lycan6574,North Dakota.. somewhere..
2020-11-06 02:09:58,1324534458444230656,"Please be responsible. 🔥🌲 
#wildfire #smokey #firefighter #tiktok https://t.co/F6HKBnDVJa",wildlandmike,"Honolulu, HI"
2020-11-06 02:08:17,1324534038057619458,@DrKarlynB Its not true. MI posted that # but it was a type-o. A conservative blogger tweeted that all 128k went Bi… https://t.co/gOEQER4PcA,MATH_0522,
2020-11-06 02:07:17,1324533784000163840,"@kdbowlin Oh? He will *drip* with hate and will spread it around like wildfire. It’s going to be tough, and that scares the piss out of me.",thealmightymeh,
2020-11-06 02:06:14,1324533521231339520,@blondedocean wildfire pt.2,xXx_yolanda_xXx,
2020-11-06 02:05:58,1324533453493252097,@Wildfire_draft I don't think you understand,ZephriFox,"Michigan, USA"
2020-11-06 02:04:17,1324533030392791045,"@PhilstarNews Some politicians are the real monsters and as long as there is a bad govt, no one is safe",sakura_wildfire,
2020-11-06 02:03:28,1324532821860503554,You gotta start a wildfire https://t.co/pAJb5qY5g7,NakersUnited,
2020-11-06 02:02:55,1324532687416172545,The first significant rain of the season in our region has officials concerned about potential landslides in areas… https://t.co/UEltaBnkfM,KLCCEugeneOR,"Eugene OR, USA"
2020-11-06 02:01:43,1324532382339420164,Yay! One of my subscribers just renewed! Follow me on #AVNStars at https://t.co/7boCNzposG,Miss_Wildfire,"London, England"
2020-11-06 02:01:05,1324532225820495872,Parts of Rocky Mountain National Park to reopen after East Troublesome Fire https://t.co/EfkcvtSjxr,9NEWS,"Denver, Colorado"
2020-11-06 02:00:57,1324532189405597699,"@NigelJohnHarri1 That is so beautifully soothing! Thanks for sharing! It’s a real shit show here, as I’m sure you’v… https://t.co/OJIi1zgNwL",laini_wildfire,"New Haven, CT"
2020-11-06 02:00:56,1324532185223753729,"'Spreading like wildfire': Facebook fights hate speech before Myanmar poll

https://t.co/sRXDGTnZ7D",Chinesepop,Singapore
2020-11-06 02:00:48,1324532153103900673,"@RealMattyDubbs If AOC did this, republicans would be spreading this like wildfire.",Ratique22,"Uniontown, OH"
2020-11-06 02:00:11,1324531998367584258,#Firefighters work long days in hot and dangerous conditions; especially as our wildfire seasons continue to length… https://t.co/HJtAkxvuqA,firewxavy,"La Grande, Oregon, USA"
2020-11-06 02:00:08,1324531985939861504,"PG&amp;E and The PG&amp;E Corporation Foundation to contribute $250,000 to tribal communities and organizations assisting r… https://t.co/xzdWhxLEXq",PGE4Me,"We're here from 8-5, Mon-Fri."
2020-11-06 02:00:03,1324531963399704576,@DreamfinderDrgn All will be revealed soon.,Wildfire_draft,"Vestal, NY"
2020-11-06 01:59:10,1324531742032670721,Almost forgot about this. https://t.co/pkxAPQ9iDO,Wildfire_draft,"Vestal, NY"
2020-11-06 01:57:50,1324531404999372800,"@_max_p0wer_ @ElvisEyed It must have once m, right? Then just spreads like wildfire through their social circle. Ju… https://t.co/eQOcOLqWLO",JackDoorsey,USA
2020-11-06 01:57:43,1324531375400210443,@Wildfire_draft That's a lot of apples,DreamfinderDrgn,
2020-11-06 01:57:03,1324531207120449538,'Spreading like wildfire': Facebook fights hate speech before Myanmar poll https://t.co/UAZ9u7Odou https://t.co/5Z40X4S2qx,ChannelNewsAsia,Singapore
2020-11-06 01:54:57,1324530678675861504,Amazing thread about the @forestobs &amp; @SaloSciences working to mitigate #wildfire risk in California https://t.co/V8XSolsFbk,hellodangelo,"San Francisco, CA"
2020-11-06 01:54:04,1324530457480843264,After we confirm that Biden won the election can we please go back to covering how Covid is spreading like wildfire… https://t.co/V2tFlRAMVe,trophy_lady,"San Diego, CA"
2020-11-06 01:53:33,1324530327927156736,Would love to see @USGS add wildfire &amp; smoke layers to this.,matt_weiser,"40.7211N, 122.5883W"
2020-11-06 01:53:18,1324530267189633024,"Wildfire reported Chiliad State Wilderness Fire crews on scene tackling the blaze,  currently the fire is 71,000 ac… https://t.co/eHWePbVLnB",LSCoFDHQ,
2020-11-06 01:52:48,1324530139099705346,"You like old school wrestling, then get this in your ears. A pretty good episode, heel Luger. Muta spitting mist on… https://t.co/JTruVK3CTx",westruntonLukeJ,"West Runton, England"
2020-11-06 01:52:33,1324530077124620288,"'Spreading like wildfire': Facebook fights hate speech before Myanmar poll

https://t.co/Uoi1AbXKMV",Chinesepop,Singapore
2020-11-06 01:50:07,1324529463598538752,@laini_wildfire I am watching your election unfold from Australia. I thought I’d share a beautiful song by an Austr… https://t.co/8H3BX50cwn,NigelJohnHarri1,
2020-11-06 01:49:40,1324529351006785536,@Komickrazi Because it was really only a green screen.,Wildfire_draft,"Vestal, NY"
2020-11-06 01:49:01,1324529187533869056,"the queen of flame and shadow, the heir of fire, aelin of the wildfire, fireheart... she burned through each title,… https://t.co/awNS912zx3",aelinsundari,⠀⠀ ˒ ♡ . . αnnα ! 𓂃 ⌗
2020-11-06 01:48:14,1324528988480397312,@mattyglesias @gelliottmorris I have a suspicion that the wildfire response explains the rural CA shift.,tachiweasel,"San Francisco, CA"
2020-11-06 01:48:03,1324528943198662656,'Spreading like wildfire': Facebook fights hate speech before Myanmar poll - Reuters UK https://t.co/MOh7N40i3A,GalaxySkin,
2020-11-06 01:47:43,1324528862299099141,Heading to a show this weekend. https://t.co/XMQHHgMrXO,Wildfire_draft,"Vestal, NY"
2020-11-06 01:47:36,1324528830304854016,People saying their vote doesn’t matter in California doesn’t seem dangerous... but your words can influence a vote… https://t.co/EYtjTmLDRg,NennyHenny,"Bay Area, CA. "
2020-11-06 01:46:59,1324528674608209920,"'Spreading like wildfire': Facebook fights hate speech before Myanmar poll
 https://t.co/O0d0jX0Vae #Burma #Myanmar",KAN601,Global Citizen
2020-11-06 01:46:27,1324528541879341057,I just remembered why I was feeling depressed even before the whole wildfire fiasco a week and a half ago. With eve… https://t.co/SI9R688cuv,NagiDeshou,Between a rock and hard place
2020-11-06 01:46:10,1324528469976346624,SPREAD THIS LIKE WILDFIRE. IF YOU KNOW SOMEONE IN GEORGIA SHOW THEM THIS AND SHOW THEM NOW https://t.co/mCmn0Efrxb,kevinorr_,"Portland, OR"
2020-11-06 01:45:56,1324528413286273024,'39 Chevrolet 1.5 ton cabover. https://t.co/jS28BPe823,Wildfire_draft,"Vestal, NY"
2020-11-06 01:45:33,1324528313134624768,Soon... https://t.co/DpeSKiMo3y,Wildfire_draft,"Vestal, NY"
2020-11-06 01:45:03,1324528189071331328,Shawnee https://t.co/cdXjsWIwSQ,Wildfire_draft,"Vestal, NY"
2020-11-06 01:44:45,1324528112676282374,"Pocahontas, brown mini. These are my uncle's, a sharp reversal of what I have. https://t.co/xZZzfzxHdK",Wildfire_draft,"Vestal, NY"
2020-11-06 01:44:27,1324528040202874881,@Laurexandra @MikeyZ2 @RudyGiuliani Let's just put it this way about @RudyGiuliani. He's about as smart these days… https://t.co/3SMW7va1gv,MarlyssaPav,Nine-Oh-Two-Seven-Two
2020-11-06 01:44:08,1324527959806562306,@fr0wns I’d maybe pick Oldie tho cuz it’s such a classic but i like wildfire too i saw you said it already,kyyyylieg,"Florida, USA"
2020-11-06 01:43:57,1324527911584423936,"@_heltonn @LouMiceliJr Since you seem chill, I’ll explain this one too. One small county in Michigan that meant to… https://t.co/ABEcHMM1ke",BeatsModeOn,
2020-11-06 01:43:30,1324527799122726913,Goat! https://t.co/KvagqRZJMc,Wildfire_draft,"Vestal, NY"
2020-11-06 01:42:59,1324527671091580929,Something that I didn't expect with the order. Looks like a feral version of Accursed. https://t.co/8mnWiEOqMZ,Wildfire_draft,"Vestal, NY"
2020-11-06 01:42:09,1324527459560165376,"Funny considering this is the president who said Ca, Ny, and Il are “going to hell,” REFUSES to send wildfire aid t… https://t.co/eM2nFYqIdh",anndy0703,
2020-11-06 01:42:09,1324527458662682624,God. It’s so impressive how rottmnt’s fan base has not only stayed active after the pausing of the show but has GRO… https://t.co/EHaRcNnWwG,Ebear12817494,
2020-11-06 01:42:07,1324527449204498433,New @GoldenDruid prints. https://t.co/Juzlw8Xdng,Wildfire_draft,"Vestal, NY"
2020-11-06 01:42:01,1324527427159117824,Detoxes be MANDATORY 🙃 https://t.co/iUTiZHMvRM,will_wildfire,"Los Angeles, CA"
2020-11-06 01:41:32,1324527306036031488,"@mrbowlman @StanfordHealth @SCCgov Not that kind of ‘fall prevention’! But if you’re a fan of endless summers, you… https://t.co/aZNHLWDNGd",sccfiredept,"Santa Clara County, CA"
2020-11-06 01:40:16,1324526985264115714,@MenachemAni spreading like wildfire,daniel_munger,
2020-11-06 01:40:06,1324526942788399106,Nonindustrial private forest landowners in 13 Oregon counties hit hard by wildfires have until the end of the year… https://t.co/a6ZzA2MfpX,LebanonExpress,"Lebanon, Oregon"
2020-11-06 01:40:01,1324526920734810113,Washington Begin Develops Wildfire Smoke Worker-Safety Rules https://t.co/xXqWL7m0aW,AIHA,Falls Church VA 22042 USA
2020-11-06 01:37:24,1324526264070426627,@jasonportnoy So crazy...spreading like wildfire right before our eyes. No chat available for me either at the moment,daniel_munger,
2020-11-06 01:37:06,1324526187650142214,Nonindustrial private forest landowners in 13 Oregon counties hit hard by wildfires have until the end of the year… https://t.co/DYP8C3ZTVO,gtnews,"Corvallis, OR"
2020-11-06 01:35:40,1324525828101664768,@IowaGOPer I hear but Trump refused to help wildfire victims in my state because we hurt his feelings. Pass.,RebGerber,"San Francisco, CA"
2020-11-06 01:33:54,1324525383115513858,@NFLPackersOwner  Players &amp; staff: Wearing your masks on your chins is probably why Covid is spreading like wildfire in your state. Idiots,fayeannette,"Bear Lake, MI "
2020-11-06 01:33:23,1324525252496404480,@VisitUtah Y’all got COVID like a wildfire down there I wouldn’t suggest traveling 😅,christinaren_ee,"Portland, OR"
2020-11-06 01:32:54,1324525130115129346,"One of two Muslims allowed to run for the ruling party in Buddhist-majority #Myanmar’s general election on Sunday,… https://t.co/Dl2TycFRxR",Rohingya_ICR,"Washington, DC"
2020-11-06 01:32:53,1324525126646419456,wildfire https://t.co/SH2SPl4O07,fr0wns,florida
2020-11-06 01:32:42,1324525083184955392,"@DesertAdvocate ""Land"" does vote: massive extirpation of biodiversity overall, and increases in drought and wildfir… https://t.co/idLe1OwFr3",SwidSeor,Turtle Island
2020-11-06 01:31:32,1324524785905401862,@TunerstheWolf Nice.,Wildfire_draft,"Vestal, NY"
2020-11-06 01:31:05,1324524675272220673,Nonindustrial private forest landowners in 13 Oregon counties hit hard by wildfires have until the end of the year… https://t.co/GjoEDWWByo,dhnews,Albany
2020-11-06 01:30:53,1324524626010087425,"@JohnTinkley @wildfire_coach Atta boy Tink, looking strong buddy!!",TheVacationDR,
2020-11-06 01:30:01,1324524407914680324,SHARE THIS POST LIKE WILDFIRE!!! #VoteBlueToSaveAmerica #BlueWave2020 #BidenHarris2020ToSaveAmerica… https://t.co/roIrZJLZTh,TheNoobestGirl,probably asleep somewhere
2020-11-06 01:28:25,1324524004472881153,"""Land"" does vote: massive extirpation of biodiversity overall, and increases in drought and wildfire in the West an… https://t.co/arTtsOoDn8",SwidSeor,Turtle Island
2020-11-06 01:27:05,1324523668848992256,@leomiica_ I’m about to give #WildFire a watch!! Never saw it.,candypie22,Asgard
2020-11-06 01:26:50,1324523606701821952,Wildfire ft John mayor 🤍 https://t.co/M35p20inJ7,kivgtut,"San Bernardino, CA"
2020-11-06 01:25:33,1324523279793623040,"Moratorium applies to properties in or near wildfire disaster areas. For the #CZULightningComplex, that extends the… https://t.co/uuQ4GBKBu2",nickmibarra,"Santa Cruz, CA"
2020-11-06 01:24:37,1324523045478899713,"Checking my Facebook has become a health hazard at this point. The divisiveness, hatred, and misinformation spreadi… https://t.co/lsEnoFIbEY",AngelaAnaconda0,"Pittsburgh, PA"
2020-11-06 01:24:25,1324522994895626241,"@MelissaKXLY4 I haven’t talked about it before today but yes, about 10 days in our family. Wisconsin is a wildfire. Stay safe 🙏",cigelske,"Milwaukee, WI"
2020-11-06 01:23:56,1324522875634831360,@ChaucerKate Like so y’all are saying you will move to another country and stop impeding our ability to improve edu… https://t.co/RNek4ykgEF,FriendlyBoat,"Adventureland, Magic Kingdom"
2020-11-06 01:23:39,1324522804214001664,CEL TOKEN RAGING WILDFIRE🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥👨🏾‍🚀@CelsiusNetwork @Mashinsky @BTCFoundation,frank86883298,"Los Angeles, CA"
2020-11-06 01:23:08,1324522674937278464,"Even if you don’t have the perfect idea to begin with, you can likely adapt.- Victoria Ransom, co-founder of Wildfi… https://t.co/eRVgLBcPPk",tweetz789,
2020-11-06 01:22:55,1324522617563348992,CEL TOKEN RAGING WILDFIRE🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥👨🏾‍🚀,frank86883298,"Los Angeles, CA"
2020-11-06 01:21:57,1324522377028489216,@stuartpstevens We tried to tell you. We've been telling you where this was headed for years. It's now like a wildf… https://t.co/1YZnonZLsm,CallieKhouri,Nashville/Los Angeles
2020-11-06 01:21:49,1324522341884432385,"@JasonIsbell Tommy,Wildfire,Rich",Carney4real,"Evansville, IN"
2020-11-06 01:20:11,1324521930314141696,"@GretaThunberg He would love to go see a movie, but his inability to lead has cause a pandemic to spread like wildf… https://t.co/D7UMkTAVKp",Bryan_Boggs,"Arlington, TX"
2020-11-06 01:19:58,1324521877168103426,@dpakman They are busy on Facebook where lies and conspiracy theories about election fraud are being spread like wi… https://t.co/N8FYcfe4uc,project99cast,WV
2020-11-06 01:19:48,1324521833933144065,@blondedocean John Mayer - Wildfire,ahmadzulhilmi,06-MY
2020-11-06 01:18:36,1324521531750404098,@TappyToeClaws Thank you for introducing “chucklefucks” to my vocab. Will spread that one like wildfire and give credit where due.,mindsculptornae,"Spartanburg, SC"
2020-11-06 01:17:26,1324521238698561537,"A California man donated 25,000 baseball cards to a 9-year-old girl who lost her collection in a wildfire
By Marika… https://t.co/MjyjG0vw3E",deskspud,
2020-11-06 01:16:37,1324521032183652353,Wildfire Size Comparison https://t.co/2MkuHlBlRe via @YouTube,nicolas96281374,
2020-11-06 01:15:56,1324520862918168577,"@RalphNader Um, Ralph, NOT fact checking this president from Day 1 has brought us here. Once the lie is unleashed,… https://t.co/PDAFxQoebG",RedSoxN8N,
2020-11-06 01:15:32,1324520762288402432,'Spreading like wildfire': Facebook fights hate speech before Myanmar poll https://t.co/s2Q5zNNeDO,malaysiakini,Malaysia
2020-11-06 01:15:14,1324520683922219008,@44HBTL He's Prettyboy D-O. You can check out his last album Wildfire,Salvv_,"Lagos, Nigeria"
2020-11-06 01:13:59,1324520370146213888,@OaklandFireCA Not two weeks ago you stopped a 3 alarm fire on MacArthur &amp; 35th that was yards from a gas station.… https://t.co/1qB5w3ygL9,MeghanMacaluso,"Oakland, California"
