CreatedOn,ID,Text,User,Location,OriginalText,token,Target
2020-11-06 02:28:15,1324539060409540613, John Mayers wildfire is my favorite Frank Ocean feature lately ,puta_kinte,,@blondedocean John Mayer’s wildfire is my favorite Frank Ocean feature lately https://t.co/5WXawUPjMC,john mayers wildfire favorite frank ocean feature lately,0
2020-11-06 02:22:10,1324537529446662144,Im afraid that I might be starting down a slippery slope ,Wildfire_draft,"Vestal, NY",I'm afraid that I might be starting down a slippery slope. https://t.co/6iQglTEARU,afraid may start slippery slope,0
2020-11-06 02:22:09,1324537525235580932,Running out of wildfire names Bay season goes Russian,DeathLocal,,"Running out of wildfire names, Bay season goes Russian",run wildfire name bay season go russian,1
2020-11-06 02:22:04,1324537504016474113,In California insurers are barred from canceling or not renewing homes for a year due to wildfire risk in many are ,techchronicle,San Francisco,"In California, insurers are barred from canceling or not renewing homes for a year due to wildfire risk in many are… https://t.co/FxEKUCjgX1",california insurer bar cancel renew home year due wildfire risk many,1
2020-11-06 02:21:39,1324537400954101760,Look I know you followed me for wildfire content but Im also going to amplify examples of the robust reliable ,ericbkennedy,"Toronto, Ontario","Look, I know you followed me for wildfire content... but I'm also going to amplify examples of the robust, reliable… https://t.co/HUWIcJhyOS",look know follow wildfire content also go amplify example robust reliable,0
2020-11-06 02:21:27,1324537350547013632,Ready or Not Play Goes Virtual to Teach Kids About Wildfire Safety ,SCE_JuanL,"Victorville, CA",Ready or Not’ Play Goes Virtual to Teach Kids About Wildfire Safety https://t.co/QP4sy9J7El,ready play go virtual teach kid wildfire safety,0
2020-11-06 02:21:24,1324537335027916800, Wildfire,dubeagu,"Los Angeles, CA",@blondedocean Wildfire,wildfire,0
2020-11-06 02:19:39,1324536895364354052,Ive rockclimbed to this picturesque spot and enjoyed this view more than a time or two  as have my MCs in WILD ,ToniRDraper,,"I've ""rock-climbed"" to this picturesque spot and enjoyed this view more than a time or two - as have my MCs in WILD… https://t.co/Wz2S4tE41b",rockclimbe picturesque spot enjoy view time two mcs wild,0
2020-11-06 02:17:21,1324536319255728133, Not many left either,Wildfire_draft,"Vestal, NY",@Lycan6574 Not many left either.,many leave either,0
2020-11-06 02:16:50,1324536188586385414,There is nothing worse than the hell the is dejection It is a poison A fast moving cancer that will spread like w ,DannyDravot_,,There is nothing worse than the hell the is dejection. It is a poison. A fast moving cancer that will spread like w… https://t.co/YKcFPkPRvZ,nothing bad hell dejection poison fast move cancer spread like w,0
2020-11-06 02:16:13,1324536034495991810,Parts of Rocky Mountain National Park to reopen after East Troublesome Fire  via ,SkonieSkoop,"Wilmington, DE",Parts of Rocky Mountain National Park to reopen after East Troublesome Fire https://t.co/dLaBMq5uCH via @9NEWS,part rocky mountain national park reopen east troublesome fire via,1
2020-11-06 02:15:30,1324535851376922624, We need this lady next time a wildfire breaks out not an election,Dirty_Worka,New England,"@GTABiker We need this lady next time a wildfire breaks out, not an election",need lady next time wildfire break election,0
2020-11-06 02:10:16,1324534535741181952,draft Nice truck,Lycan6574,North Dakota.. somewhere..,@Wildfire_draft Nice truck,draft nice truck,0
2020-11-06 02:09:58,1324534458444230656,Please be responsible  wildfire smokey firefighter tiktok ,wildlandmike,"Honolulu, HI","Please be responsible. 🔥🌲 
#wildfire #smokey #firefighter #tiktok https://t.co/F6HKBnDVJa",please responsible wildfire smokey firefighter tiktok,1
2020-11-06 02:08:17,1324534038057619458, Its not true MI posted that  but it was a typeo A conservative blogger tweeted that all 128k went Bi ,MATH_0522,,@DrKarlynB Its not true. MI posted that # but it was a type-o. A conservative blogger tweeted that all 128k went Bi… https://t.co/gOEQER4PcA,true mi post typeo conservative blogger tweet 128k go bi,0
2020-11-06 02:07:17,1324533784000163840, Oh He will drip with hate and will spread it around like wildfire Its going to be tough and that scares the piss out of me,thealmightymeh,,"@kdbowlin Oh? He will *drip* with hate and will spread it around like wildfire. It’s going to be tough, and that scares the piss out of me.",oh drip hate spread around like wildfire go tough scare piss,0
2020-11-06 02:06:14,1324533521231339520, wildfire pt2,xXx_yolanda_xXx,,@blondedocean wildfire pt.2,wildfire pt2,1
2020-11-06 02:05:58,1324533453493252097,draft I dont think you understand,ZephriFox,"Michigan, USA",@Wildfire_draft I don't think you understand,draft think understand,0
2020-11-06 02:04:17,1324533030392791045, Some politicians are the real monsters and as long as there is a bad govt no one is safe,sakura_wildfire,,"@PhilstarNews Some politicians are the real monsters and as long as there is a bad govt, no one is safe",politician real monster long bad govt one safe,0
2020-11-06 02:03:28,1324532821860503554,You gotta start a wildfire ,NakersUnited,,You gotta start a wildfire https://t.co/pAJb5qY5g7,get start wildfire,1
2020-11-06 02:02:55,1324532687416172545,The first significant rain of the season in our region has officials concerned about potential landslides in areas ,KLCCEugeneOR,"Eugene OR, USA",The first significant rain of the season in our region has officials concerned about potential landslides in areas… https://t.co/UEltaBnkfM,first significant rain season region official concern potential landslide area,1
2020-11-06 02:01:43,1324532382339420164,Yay One of my subscribers just renewed Follow me on AVNStars at ,Miss_Wildfire,"London, England",Yay! One of my subscribers just renewed! Follow me on #AVNStars at https://t.co/7boCNzposG,yay one subscriber renew follow avnstar,0
2020-11-06 02:01:05,1324532225820495872,Parts of Rocky Mountain National Park to reopen after East Troublesome Fire ,9NEWS,"Denver, Colorado",Parts of Rocky Mountain National Park to reopen after East Troublesome Fire https://t.co/EfkcvtSjxr,part rocky mountain national park reopen east troublesome fire,1
2020-11-06 02:00:57,1324532189405597699, That is so beautifully soothing Thanks for sharing Its a real shit show here as Im sure youv ,laini_wildfire,"New Haven, CT","@NigelJohnHarri1 That is so beautifully soothing! Thanks for sharing! It’s a real shit show here, as I’m sure you’v… https://t.co/OJIi1zgNwL",beautifully soothing thank share real shit show sure youv,0
2020-11-06 02:00:56,1324532185223753729,Spreading like wildfire Facebook fights hate speech before Myanmar poll,Chinesepop,Singapore,"'Spreading like wildfire': Facebook fights hate speech before Myanmar poll

https://t.co/sRXDGTnZ7D",spread like wildfire facebook fight hate speech myanmar poll,0
2020-11-06 02:00:48,1324532153103900673, If AOC did this republicans would be spreading this like wildfire,Ratique22,"Uniontown, OH","@RealMattyDubbs If AOC did this, republicans would be spreading this like wildfire.",aoc republicans would spread like wildfire,0
2020-11-06 02:00:11,1324531998367584258,Firefighters work long days in hot and dangerous conditions especially as our wildfire seasons continue to length ,firewxavy,"La Grande, Oregon, USA",#Firefighters work long days in hot and dangerous conditions; especially as our wildfire seasons continue to length… https://t.co/HJtAkxvuqA,firefighter work long day hot dangerous condition especially wildfire season continue length,1
2020-11-06 02:00:08,1324531985939861504,PGampE and The PGampE Corporation Foundation to contribute 250000 to tribal communities and organizations assisting r ,PGE4Me,"We're here from 8-5, Mon-Fri.","PG&amp;E and The PG&amp;E Corporation Foundation to contribute $250,000 to tribal communities and organizations assisting r… https://t.co/xzdWhxLEXq",pgampe pgampe corporation foundation contribute 250000 tribal community organization assist r,0
2020-11-06 02:00:03,1324531963399704576, All will be revealed soon,Wildfire_draft,"Vestal, NY",@DreamfinderDrgn All will be revealed soon.,reveal soon,0
2020-11-06 01:59:10,1324531742032670721,Almost forgot about this ,Wildfire_draft,"Vestal, NY",Almost forgot about this. https://t.co/pkxAPQ9iDO,almost forgot,0
2020-11-06 01:57:50,1324531404999372800,maxp0wer  It must have once m right Then just spreads like wildfire through their social circle Ju ,JackDoorsey,USA,"@_max_p0wer_ @ElvisEyed It must have once m, right? Then just spreads like wildfire through their social circle. Ju… https://t.co/eQOcOLqWLO",maxp0wer must right spread like wildfire social circle ju,0
2020-11-06 01:57:43,1324531375400210443,draft Thats a lot of apples,DreamfinderDrgn,,@Wildfire_draft That's a lot of apples,draft lot apple,0
2020-11-06 01:57:03,1324531207120449538,Spreading like wildfire Facebook fights hate speech before Myanmar poll  ,ChannelNewsAsia,Singapore,'Spreading like wildfire': Facebook fights hate speech before Myanmar poll https://t.co/UAZ9u7Odou https://t.co/5Z40X4S2qx,spread like wildfire facebook fight hate speech myanmar poll,0
2020-11-06 01:54:57,1324530678675861504,Amazing thread about the  amp  working to mitigate wildfire risk in California ,hellodangelo,"San Francisco, CA",Amazing thread about the @forestobs &amp; @SaloSciences working to mitigate #wildfire risk in California https://t.co/V8XSolsFbk,amazing thread amp work mitigate wildfire risk california,1
2020-11-06 01:54:04,1324530457480843264,After we confirm that Biden won the election can we please go back to covering how Covid is spreading like wildfire ,trophy_lady,"San Diego, CA",After we confirm that Biden won the election can we please go back to covering how Covid is spreading like wildfire… https://t.co/V2tFlRAMVe,confirm biden win election please go back cover covid spread like wildfire,0
2020-11-06 01:53:33,1324530327927156736,Would love to see  add wildfire amp smoke layers to this,matt_weiser,"40.7211N, 122.5883W",Would love to see @USGS add wildfire &amp; smoke layers to this.,would love see add wildfire amp smoke layer,0
2020-11-06 01:53:18,1324530267189633024,Wildfire reported Chiliad State Wilderness Fire crews on scene tackling the blaze  currently the fire is 71000 ac ,LSCoFDHQ,,"Wildfire reported Chiliad State Wilderness Fire crews on scene tackling the blaze,  currently the fire is 71,000 ac… https://t.co/eHWePbVLnB",wildfire report chiliad state wilderness fire crew scene tackle blaze currently fire 71000 ac,1
2020-11-06 01:52:48,1324530139099705346,You like old school wrestling then get this in your ears A pretty good episode heel Luger Muta spitting mist on ,westruntonLukeJ,"West Runton, England","You like old school wrestling, then get this in your ears. A pretty good episode, heel Luger. Muta spitting mist on… https://t.co/JTruVK3CTx",like old school wrestling get ear pretty good episode heel luger muta spit mist,0
2020-11-06 01:52:33,1324530077124620288,Spreading like wildfire Facebook fights hate speech before Myanmar poll,Chinesepop,Singapore,"'Spreading like wildfire': Facebook fights hate speech before Myanmar poll

https://t.co/Uoi1AbXKMV",spread like wildfire facebook fight hate speech myanmar poll,0
2020-11-06 01:50:07,1324529463598538752,wildfire I am watching your election unfold from Australia I thought Id share a beautiful song by an Austr ,NigelJohnHarri1,,@laini_wildfire I am watching your election unfold from Australia. I thought I’d share a beautiful song by an Austr… https://t.co/8H3BX50cwn,wildfire watch election unfold australia think share beautiful song austr,0
2020-11-06 01:49:40,1324529351006785536, Because it was really only a green screen,Wildfire_draft,"Vestal, NY",@Komickrazi Because it was really only a green screen.,really green screen,0
2020-11-06 01:49:01,1324529187533869056,the queen of flame and shadow the heir of fire aelin of the wildfire fireheart she burned through each title ,aelinsundari,⠀⠀ ˒ ♡ . . αnnα ! 𓂃 ⌗,"the queen of flame and shadow, the heir of fire, aelin of the wildfire, fireheart... she burned through each title,… https://t.co/awNS912zx3",queen flame shadow heir fire aelin wildfire fireheart burn title,0
2020-11-06 01:48:14,1324528988480397312,  I have a suspicion that the wildfire response explains the rural CA shift,tachiweasel,"San Francisco, CA",@mattyglesias @gelliottmorris I have a suspicion that the wildfire response explains the rural CA shift.,suspicion wildfire response explain rural ca shift,1
2020-11-06 01:48:03,1324528943198662656,Spreading like wildfire Facebook fights hate speech before Myanmar poll  Reuters UK ,GalaxySkin,,'Spreading like wildfire': Facebook fights hate speech before Myanmar poll - Reuters UK https://t.co/MOh7N40i3A,spread like wildfire facebook fight hate speech myanmar poll reuters uk,1
2020-11-06 01:47:43,1324528862299099141,Heading to a show this weekend ,Wildfire_draft,"Vestal, NY",Heading to a show this weekend. https://t.co/XMQHHgMrXO,head show weekend,0
2020-11-06 01:47:36,1324528830304854016,People saying their vote doesnt matter in California doesnt seem dangerous but your words can influence a vote ,NennyHenny,"Bay Area, CA. ",People saying their vote doesn’t matter in California doesn’t seem dangerous... but your words can influence a vote… https://t.co/EYtjTmLDRg,people say vote matter california seem dangerous word influence vote,0
2020-11-06 01:46:59,1324528674608209920,Spreading like wildfire Facebook fights hate speech before Myanmar poll  Burma Myanmar,KAN601,Global Citizen,"'Spreading like wildfire': Facebook fights hate speech before Myanmar poll
 https://t.co/O0d0jX0Vae #Burma #Myanmar",spread like wildfire facebook fight hate speech myanmar poll burma myanmar,1
2020-11-06 01:46:27,1324528541879341057,I just remembered why I was feeling depressed even before the whole wildfire fiasco a week and a half ago With eve ,NagiDeshou,Between a rock and hard place,I just remembered why I was feeling depressed even before the whole wildfire fiasco a week and a half ago. With eve… https://t.co/SI9R688cuv,remember feel depressed even whole wildfire fiasco week half ago eve,0
2020-11-06 01:46:10,1324528469976346624,SPREAD THIS LIKE WILDFIRE IF YOU KNOW SOMEONE IN GEORGIA SHOW THEM THIS AND SHOW THEM NOW ,kevinorr_,"Portland, OR",SPREAD THIS LIKE WILDFIRE. IF YOU KNOW SOMEONE IN GEORGIA SHOW THEM THIS AND SHOW THEM NOW https://t.co/mCmn0Efrxb,spread like wildfire know someone georgia show show,0
2020-11-06 01:45:56,1324528413286273024,39 Chevrolet 15 ton cabover ,Wildfire_draft,"Vestal, NY",'39 Chevrolet 1.5 ton cabover. https://t.co/jS28BPe823,39 chevrolet 15 ton cabover,0
2020-11-06 01:45:33,1324528313134624768,Soon ,Wildfire_draft,"Vestal, NY",Soon... https://t.co/DpeSKiMo3y,soon,0
2020-11-06 01:45:03,1324528189071331328,Shawnee ,Wildfire_draft,"Vestal, NY",Shawnee https://t.co/cdXjsWIwSQ,shawnee,0
2020-11-06 01:44:45,1324528112676282374,Pocahontas brown mini These are my uncles a sharp reversal of what I have ,Wildfire_draft,"Vestal, NY","Pocahontas, brown mini. These are my uncle's, a sharp reversal of what I have. https://t.co/xZZzfzxHdK",pocahontas brown mini uncle sharp reversal,0
2020-11-06 01:44:27,1324528040202874881,   Lets just put it this way about  Hes about as smart these days ,MarlyssaPav,Nine-Oh-Two-Seven-Two,@Laurexandra @MikeyZ2 @RudyGiuliani Let's just put it this way about @RudyGiuliani. He's about as smart these days… https://t.co/3SMW7va1gv,let put way smart day,0
2020-11-06 01:44:08,1324527959806562306, Id maybe pick Oldie tho cuz its such a classic but i like wildfire too i saw you said it already,kyyyylieg,"Florida, USA",@fr0wns I’d maybe pick Oldie tho cuz it’s such a classic but i like wildfire too i saw you said it already,maybe pick oldie tho cuz classic like wildfire see say already,0
2020-11-06 01:43:57,1324527911584423936,heltonn  Since you seem chill Ill explain this one too One small county in Michigan that meant to ,BeatsModeOn,,"@_heltonn @LouMiceliJr Since you seem chill, I’ll explain this one too. One small county in Michigan that meant to… https://t.co/ABEcHMM1ke",heltonn since seem chill ill explain one one small county michigan mean,0
2020-11-06 01:43:30,1324527799122726913,Goat ,Wildfire_draft,"Vestal, NY",Goat! https://t.co/KvagqRZJMc,goat,0
2020-11-06 01:42:59,1324527671091580929,Something that I didnt expect with the order Looks like a feral version of Accursed ,Wildfire_draft,"Vestal, NY",Something that I didn't expect with the order. Looks like a feral version of Accursed. https://t.co/8mnWiEOqMZ,something expect order look like feral version accurse,0
2020-11-06 01:42:09,1324527459560165376,Funny considering this is the president who said Ca Ny and Il are going to hell REFUSES to send wildfire aid t ,anndy0703,,"Funny considering this is the president who said Ca, Ny, and Il are “going to hell,” REFUSES to send wildfire aid t… https://t.co/eM2nFYqIdh",funny consider president say ca ny il go hell refuses send wildfire aid,1
2020-11-06 01:42:09,1324527458662682624,God Its so impressive how rottmnts fan base has not only stayed active after the pausing of the show but has GRO ,Ebear12817494,,God. It’s so impressive how rottmnt’s fan base has not only stayed active after the pausing of the show but has GRO… https://t.co/EHaRcNnWwG,god impressive rottmnt fan base stay active pausing show gro,0
2020-11-06 01:42:07,1324527449204498433,New  prints ,Wildfire_draft,"Vestal, NY",New @GoldenDruid prints. https://t.co/Juzlw8Xdng,new print,0
2020-11-06 01:42:01,1324527427159117824,Detoxes be MANDATORY  ,will_wildfire,"Los Angeles, CA",Detoxes be MANDATORY 🙃 https://t.co/iUTiZHMvRM,detox mandatory,0
2020-11-06 01:41:32,1324527306036031488,   Not that kind of fall prevention But if youre a fan of endless summers you ,sccfiredept,"Santa Clara County, CA","@mrbowlman @StanfordHealth @SCCgov Not that kind of ‘fall prevention’! But if you’re a fan of endless summers, you… https://t.co/aZNHLWDNGd",kind fall prevention fan endless summer,0
2020-11-06 01:40:16,1324526985264115714, spreading like wildfire,daniel_munger,,@MenachemAni spreading like wildfire,spread like wildfire,1
2020-11-06 01:40:06,1324526942788399106,Nonindustrial private forest landowners in 13 Oregon counties hit hard by wildfires have until the end of the year ,LebanonExpress,"Lebanon, Oregon",Nonindustrial private forest landowners in 13 Oregon counties hit hard by wildfires have until the end of the year… https://t.co/a6ZzA2MfpX,nonindustrial private forest landowner 13 oregon county hit hard wildfire end year,1
2020-11-06 01:40:01,1324526920734810113,Washington Begin Develops Wildfire Smoke WorkerSafety Rules ,AIHA,Falls Church VA 22042 USA,Washington Begin Develops Wildfire Smoke Worker-Safety Rules https://t.co/xXqWL7m0aW,washington begin develop wildfire smoke workersafety rules,1
2020-11-06 01:37:24,1324526264070426627, So crazyspreading like wildfire right before our eyes No chat available for me either at the moment,daniel_munger,,@jasonportnoy So crazy...spreading like wildfire right before our eyes. No chat available for me either at the moment,crazyspreade like wildfire right eye chat available either moment,0
2020-11-06 01:37:06,1324526187650142214,Nonindustrial private forest landowners in 13 Oregon counties hit hard by wildfires have until the end of the year ,gtnews,"Corvallis, OR",Nonindustrial private forest landowners in 13 Oregon counties hit hard by wildfires have until the end of the year… https://t.co/DYP8C3ZTVO,nonindustrial private forest landowner 13 oregon county hit hard wildfire end year,1
2020-11-06 01:35:40,1324525828101664768, I hear but Trump refused to help wildfire victims in my state because we hurt his feelings Pass,RebGerber,"San Francisco, CA",@IowaGOPer I hear but Trump refused to help wildfire victims in my state because we hurt his feelings. Pass.,hear trump refuse help wildfire victim state hurt feeling pass,0
2020-11-06 01:33:54,1324525383115513858,  Players amp staff Wearing your masks on your chins is probably why Covid is spreading like wildfire in your state Idiots,fayeannette,"Bear Lake, MI ",@NFLPackersOwner  Players &amp; staff: Wearing your masks on your chins is probably why Covid is spreading like wildfire in your state. Idiots,player amp staff wear mask chin probably covid spread like wildfire state idiot,0
2020-11-06 01:33:23,1324525252496404480, Yall got COVID like a wildfire down there I wouldnt suggest traveling ,christinaren_ee,"Portland, OR",@VisitUtah Y’all got COVID like a wildfire down there I wouldn’t suggest traveling 😅,yall get covid like wildfire would suggest travel,0
2020-11-06 01:32:54,1324525130115129346,One of two Muslims allowed to run for the ruling party in Buddhistmajority Myanmars general election on Sunday ,Rohingya_ICR,"Washington, DC","One of two Muslims allowed to run for the ruling party in Buddhist-majority #Myanmar’s general election on Sunday,… https://t.co/Dl2TycFRxR",one two muslims allow run rule party buddhistmajority myanmars general election sunday,0
2020-11-06 01:32:53,1324525126646419456,wildfire ,fr0wns,florida,wildfire https://t.co/SH2SPl4O07,wildfire,0
2020-11-06 01:32:42,1324525083184955392, Land does vote massive extirpation of biodiversity overall and increases in drought and wildfir ,SwidSeor,Turtle Island,"@DesertAdvocate ""Land"" does vote: massive extirpation of biodiversity overall, and increases in drought and wildfir… https://t.co/idLe1OwFr3",land vote massive extirpation biodiversity overall increase drought wildfir,1
2020-11-06 01:31:32,1324524785905401862, Nice,Wildfire_draft,"Vestal, NY",@TunerstheWolf Nice.,nice,0
2020-11-06 01:31:05,1324524675272220673,Nonindustrial private forest landowners in 13 Oregon counties hit hard by wildfires have until the end of the year ,dhnews,Albany,Nonindustrial private forest landowners in 13 Oregon counties hit hard by wildfires have until the end of the year… https://t.co/GjoEDWWByo,nonindustrial private forest landowner 13 oregon county hit hard wildfire end year,1
2020-11-06 01:30:53,1324524626010087425, coach Atta boy Tink looking strong buddy,TheVacationDR,,"@JohnTinkley @wildfire_coach Atta boy Tink, looking strong buddy!!",coach atta boy tink look strong buddy,0
2020-11-06 01:30:01,1324524407914680324,SHARE THIS POST LIKE WILDFIRE VoteBlueToSaveAmerica BlueWave2020 BidenHarris2020ToSaveAmerica ,TheNoobestGirl,probably asleep somewhere,SHARE THIS POST LIKE WILDFIRE!!! #VoteBlueToSaveAmerica #BlueWave2020 #BidenHarris2020ToSaveAmerica… https://t.co/roIrZJLZTh,share post like wildfire votebluetosaveamerica bluewave2020 bidenharris2020tosaveamerica,0
2020-11-06 01:28:25,1324524004472881153,Land does vote massive extirpation of biodiversity overall and increases in drought and wildfire in the West an ,SwidSeor,Turtle Island,"""Land"" does vote: massive extirpation of biodiversity overall, and increases in drought and wildfire in the West an… https://t.co/arTtsOoDn8",land vote massive extirpation biodiversity overall increase drought wildfire west,1
2020-11-06 01:27:05,1324523668848992256, Im about to give WildFire a watch Never saw it,candypie22,Asgard,@leomiica_ I’m about to give #WildFire a watch!! Never saw it.,give wildfire watch never see,0
2020-11-06 01:26:50,1324523606701821952,Wildfire ft John mayor  ,kivgtut,"San Bernardino, CA",Wildfire ft John mayor 🤍 https://t.co/M35p20inJ7,wildfire ft john mayor,1
2020-11-06 01:25:33,1324523279793623040,Moratorium applies to properties in or near wildfire disaster areas For the CZULightningComplex that extends the ,nickmibarra,"Santa Cruz, CA","Moratorium applies to properties in or near wildfire disaster areas. For the #CZULightningComplex, that extends the… https://t.co/uuQ4GBKBu2",moratorium apply property near wildfire disaster area czulightningcomplex extend,1
2020-11-06 01:24:37,1324523045478899713,Checking my Facebook has become a health hazard at this point The divisiveness hatred and misinformation spreadi ,AngelaAnaconda0,"Pittsburgh, PA","Checking my Facebook has become a health hazard at this point. The divisiveness, hatred, and misinformation spreadi… https://t.co/lsEnoFIbEY",check facebook become health hazard point divisiveness hatred misinformation spreadi,0
2020-11-06 01:24:25,1324522994895626241, I havent talked about it before today but yes about 10 days in our family Wisconsin is a wildfire Stay safe ,cigelske,"Milwaukee, WI","@MelissaKXLY4 I haven’t talked about it before today but yes, about 10 days in our family. Wisconsin is a wildfire. Stay safe 🙏",talk today yes 10 day family wisconsin wildfire stay safe,0
2020-11-06 01:23:56,1324522875634831360, Like so yall are saying you will move to another country and stop impeding our ability to improve edu ,FriendlyBoat,"Adventureland, Magic Kingdom",@ChaucerKate Like so y’all are saying you will move to another country and stop impeding our ability to improve edu… https://t.co/RNek4ykgEF,like say move another country stop impede ability improve edu,0
2020-11-06 01:23:39,1324522804214001664,CEL TOKEN RAGING WILDFIRE  ,frank86883298,"Los Angeles, CA",CEL TOKEN RAGING WILDFIRE🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥👨🏾‍🚀@CelsiusNetwork @Mashinsky @BTCFoundation,cel token rage wildfire,1
2020-11-06 01:23:08,1324522674937278464,Even if you dont have the perfect idea to begin with you can likely adapt Victoria Ransom cofounder of Wildfi ,tweetz789,,"Even if you don’t have the perfect idea to begin with, you can likely adapt.- Victoria Ransom, co-founder of Wildfi… https://t.co/eRVgLBcPPk",even perfect idea begin likely adapt victoria ransom cofounder wildfi,0
2020-11-06 01:22:55,1324522617563348992,CEL TOKEN RAGING WILDFIRE,frank86883298,"Los Angeles, CA",CEL TOKEN RAGING WILDFIRE🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥👨🏾‍🚀,cel token rage wildfire,1
2020-11-06 01:21:57,1324522377028489216, We tried to tell you Weve been telling you where this was headed for years Its now like a wildf ,CallieKhouri,Nashville/Los Angeles,@stuartpstevens We tried to tell you. We've been telling you where this was headed for years. It's now like a wildf… https://t.co/1YZnonZLsm,try tell tell head year like wildf,0
2020-11-06 01:21:49,1324522341884432385, TommyWildfireRich,Carney4real,"Evansville, IN","@JasonIsbell Tommy,Wildfire,Rich",tommywildfirerich,0
2020-11-06 01:20:11,1324521930314141696, He would love to go see a movie but his inability to lead has cause a pandemic to spread like wildf ,Bryan_Boggs,"Arlington, TX","@GretaThunberg He would love to go see a movie, but his inability to lead has cause a pandemic to spread like wildf… https://t.co/D7UMkTAVKp",would love go see movie inability lead cause pandemic spread like wildf,0
2020-11-06 01:19:58,1324521877168103426, They are busy on Facebook where lies and conspiracy theories about election fraud are being spread like wi ,project99cast,WV,@dpakman They are busy on Facebook where lies and conspiracy theories about election fraud are being spread like wi… https://t.co/N8FYcfe4uc,busy facebook lie conspiracy theory election fraud spread like wi,0
2020-11-06 01:19:48,1324521833933144065, John Mayer  Wildfire,ahmadzulhilmi,06-MY,@blondedocean John Mayer - Wildfire,john mayer wildfire,0
2020-11-06 01:18:36,1324521531750404098, Thank you for introducing chucklefucks to my vocab Will spread that one like wildfire and give credit where due,mindsculptornae,"Spartanburg, SC",@TappyToeClaws Thank you for introducing “chucklefucks” to my vocab. Will spread that one like wildfire and give credit where due.,thank introduce chucklefuck vocab spread one like wildfire give credit due,0
2020-11-06 01:17:26,1324521238698561537,A California man donated 25000 baseball cards to a 9yearold girl who lost her collection in a wildfireBy Marika ,deskspud,,"A California man donated 25,000 baseball cards to a 9-year-old girl who lost her collection in a wildfire
By Marika… https://t.co/MjyjG0vw3E",california man donate 25000 baseball card 9yearold girl lose collection wildfireby marika,0
2020-11-06 01:16:37,1324521032183652353,Wildfire Size Comparison  via ,nicolas96281374,,Wildfire Size Comparison https://t.co/2MkuHlBlRe via @YouTube,wildfire size comparison via,0
2020-11-06 01:15:56,1324520862918168577, Um Ralph NOT fact checking this president from Day 1 has brought us here Once the lie is unleashed ,RedSoxN8N,,"@RalphNader Um, Ralph, NOT fact checking this president from Day 1 has brought us here. Once the lie is unleashed,… https://t.co/PDAFxQoebG",um ralph fact check president day 1 bring lie unleashed,0
2020-11-06 01:15:32,1324520762288402432,Spreading like wildfire Facebook fights hate speech before Myanmar poll ,malaysiakini,Malaysia,'Spreading like wildfire': Facebook fights hate speech before Myanmar poll https://t.co/s2Q5zNNeDO,spread like wildfire facebook fight hate speech myanmar poll,0
2020-11-06 01:15:14,1324520683922219008, Hes Prettyboy DO You can check out his last album Wildfire,Salvv_,"Lagos, Nigeria",@44HBTL He's Prettyboy D-O. You can check out his last album Wildfire,prettyboy check last album wildfire,0
2020-11-06 01:13:59,1324520370146213888, Not two weeks ago you stopped a 3 alarm fire on MacArthur amp 35th that was yards from a gas station ,MeghanMacaluso,"Oakland, California",@OaklandFireCA Not two weeks ago you stopped a 3 alarm fire on MacArthur &amp; 35th that was yards from a gas station.… https://t.co/1qB5w3ygL9,two week ago stop 3 alarm fire macarthur amp 35th yard gas station,1
